창구;창
차앙;창
원 창;번창
원창;번창
분 창;번창
세계;실패
기동;이동
저거;작업
3종;삼동
삼성;삼동
서부;서버
이동섭;이동 서버
이동섭 on;이동 서버
이동섭 어;이동 서버
화면;화
db;데이터 베이스
DB;데이터 베이스
IP;아이피
ip;아이피
